city,country,long,lat,Temperature,Humidity (%),Cloudiness(%),Wind Speed (mph)
kodiak,US,-152.4072,57.79,38.71,48,20,8.05
mahebourg,MU,57.7,-20.4081,74.25,79,5,14.45
jamestown,US,-79.2353,42.097,56.59,71,1,13.8
mahalapye,BW,26.8142,-23.1041,63.95,63,49,11.36
hilo,US,-155.09,19.7297,79.59,74,20,9.22
rikitea,PF,-134.9692,-23.1203,75.94,78,74,19.06
new norfolk,AU,147.0587,-42.7826,45.54,99,100,7.52
avarua,CK,-159.775,-21.2078,75.25,69,75,9.22
port alfred,ZA,26.891,-33.5906,68.07,88,100,9.93
hobart,AU,147.3294,-42.8794,46.13,94,75,4.0
punta arenas,CL,-70.9167,-53.15,55.51,62,75,12.66
ushuaia,AR,-68.3,-54.8,58.66,41,20,14.97
bambous virieux,MU,57.7575,-20.3428,74.21,78,4,12.97
busselton,AU,115.3333,-33.65,55.04,62,45,6.71
gisborne,NZ,178.0042,-38.6533,61.59,89,100,2.42
barrow,US,-156.7887,71.2906,21.22,93,90,11.5
port lincoln,AU,135.8667,-34.7333,57.88,57,82,15.12
bongandanga,CD,21.05,1.5,71.01,99,93,1.74
hermanus,ZA,19.2345,-34.4187,56.8,90,13,9.95
chuy,UY,-53.4616,-33.6971,63.73,85,0,8.72
viedma,AR,-62.9967,-40.8135,74.43,34,83,6.73
kaiu,EE,25.0551,59.0129,50.92,93,100,11.95
cape town,ZA,18.4232,-33.9258,60.8,70,15,1.99
yellowknife,CA,-114.3525,62.456,31.35,100,75,5.75
chara,RU,118.2631,56.9064,17.33,72,63,5.53
sao filipe,CV,-24.4956,14.8961,77.77,80,100,14.99
talnakh,RU,88.3972,69.4865,-5.53,92,95,9.37
codrington,AU,141.9667,-38.2667,54.14,57,91,24.29
saurimo,AO,20.3916,-9.6608,64.65,96,100,3.74
fortuna,US,-124.1573,40.5982,65.41,67,20,1.01
saskylakh,RU,114.0833,71.9167,-1.91,97,100,10.22
richards bay,ZA,32.0377,-28.783,66.04,72,88,13.71
ancud,CL,-73.8203,-41.8697,54.93,82,48,7.09
georgetown,MY,100.3354,5.4112,78.89,87,20,3.44
luau,AO,22.2247,-10.7073,65.84,91,100,1.34
inndyr,NO,14.0276,67.0338,43.16,90,100,11.9
vaini,TO,-175.2,-21.2,80.76,83,75,10.36
albany,US,-73.9662,42.6001,41.18,90,1,0.96
tura,IN,90.2201,25.5198,65.46,91,0,4.32
thompson,CA,-97.8558,55.7435,39.36,93,90,8.05
cozumel,MX,-86.9458,20.5083,83.14,85,40,1.99
norman wells,CA,-126.8329,65.282,23.04,86,90,4.61
bismarck,US,-100.7837,46.8083,50.11,49,1,3.44
longyearbyen,SJ,15.6401,78.2186,19.24,73,0,11.5
plettenberg bay,ZA,23.3716,-34.0527,67.71,75,99,6.22
sola,VU,167.55,-13.8833,81.41,76,45,16.53
qaanaaq,GL,-69.3632,77.484,18.52,85,97,6.85
taoudenni,ML,-3.9836,22.6783,84.29,28,97,6.73
mar del plata,AR,-57.5575,-38.0023,66.87,87,0,24.0
mataura,NZ,168.8643,-46.1927,69.26,49,35,0.6
saldanha,ZA,17.9442,-33.0117,59.83,90,44,15.64
wadi musa,JO,35.4793,30.3222,63.46,32,55,7.07
dikson,RU,80.5464,73.5069,9.27,90,100,6.44
foshan,CN,113.1315,23.0268,73.27,64,2,5.19
